Rep,Last Activity Date,DS Last Activity Date,CED,CUSTOMER,Future $,DS Future $,Comments,DS Comments,COMPANY_NAME,CONTACT_NAME,ADDRESS,SUITE_NUMBER,CITY,POSTAL,PHONE,ACCOUNT,WEEKLY, SELECTED SIC ,DISTRICT CODE,FRENCH_PREFERRED_CORRESPONDENCE,POPULATION CODE,SIC DISCRIPTION,,A,2
,,,,YES,,,,,#1 QUALITY VEHICLE REPAIRS INC,,186 COCHLAN DRIVE,"MORDEN, MB R6M 1G5",MORDEN,R6M 1G5,(204)822-9818,5777,,,,,,,,,
,,,,,,,,,1 LIFE WORKPLACE SAFETY-HEALTH,"KOWALCHUK, THEO",175 MARION ST,,WINNIPEG,R2H 0T3,2042315433,,,874208,,,,SAFETY CONSULTANTS,KOWALCHUK,DARYL,OWNER
,,,,,,,,,1 MILLION CAR WASH & DETAILING,"ABDULREDHA, MOHAMMAD",583 MCPHILLIPS ST,B,WINNIPEG,R2X 2H1,2045824085,,,754201,,,,CAR WASHING & POLISHING,ABDULREDHA,MARY ANN,MANAGER
,,,,no,,,,,1 OR LESS DISCOUNT WAREHOUSE,,55 GOULET ST,,WINNIPEG,R2H 0R5,2042351310,,,912104,11,,9,"GOVERNMENT OFFICES-CITY, VILLAGE & TWP",,A,SITE MANAGER
,,,,,,,,,1 RAINBOW TAXI,,141 5TH ST,,BRANDON,R7A 3K5,2047174000,,,412101,,,,TAXICABS & TRANSPORTATION SERVICE,,,
,,,2017,NO,,,,,101 SUCCESS MANAGEMENT,,62 SCURFIELD BLVD,"WINNIPEG, MB R3Y 1M5",WINNIPEG,R3Y 1M5,(204)226-0074,6143,$19.61 ,,,,,,,,
,,,,,,,,,110 LEGION PLACE,"BALLENDINE, VAL",83 DENNIS ST W,,GLADSTONE,R0J 0T0,2043852305,,,805904,,,,RETIREMENT COMMUNITIES & HOMES,BALLENDINE,PAUL,MANAGER
,,,,,,,,,1104 BEAUTY BAR,"ST GODARD, LISA",1104 PEMBINA HWY,,WINNIPEG,R3T 1Z9,2044142508,,,723106,,,,BEAUTY SALONS,ST GODARD,DOUG,OWNER
,,,,,,,,,13TH HOUR TATTOO,,304 NOTRE DAME AVE,,WINNIPEG,R3B 1P4,2049441313,,,729943,,,,TATTOOING,,,
,,,,,,,,,18 WHEELER SAFETY & REPAIR SHP,"PETERS, CORNIE",500 GEORGE AVE,,WINKLER,R6W 0J4,2043314162,,,753812,,,,TRUCK-REPAIRING & SERVICE,PETERS,DARIO,OWNER
